sale_id,date,customer_id,dog_name,service,price_mxn,payment_method,employee_id,notes,is_churned
DD-000543,2023-01-01,C-292,Chico,Guardería,190.0,Efectivo,EMP-02,,0
DD-000368,2023-01-01,C-194,Nina,Guardería,150.0,Efectivo,EMP-08,descuento aplicado,0
DD-000594,2023-01-01,C-319,Princesa,Corte,380.0,Efectivo,EMP-07,traer vacunas,0
DD-000285,2023-01-01,C-156,Beto,Guardería,200.0,Efectivo,EMP-07,cliente VIP,0
DD-000032,2023-01-01,C-013,Coco,Guardería,190.0,Efectivo,EMP-07,descuento aplicado,1
DD-000026,2023-01-01,C-012,Chispa,Baño,270.0,Tarjeta,EMP-05,cliente VIP,1
DD-000450,2023-01-01,C-239,Pancho,Hotel,560.0,Efectivo,EMP-01,,0
DD-000043,2023-01-01,C-022,Sammy,Hotel,370.0,Tarjeta,EMP-08,,1
DD-000233,2023-01-01,C-129,Tigrillo,Guardería,190.0,Efectivo,EMP-01,primera visita,0
DD-000230,2023-01-01,C-125,Tigrillo,Baño,410.0,Tarjeta,EMP-01,,0
DD-000466,2023-01-01,C-245,Frida,Hotel,480.0,Efectivo,EMP-05,,0
DD-000235,2023-01-01,C-130,Gordo,Guardería,160.0,Transferencia,EMP-07,propina incluida,0
DD-000104,2023-01-01,C-056,Bonita,Guardería,210.0,Tarjeta,EMP-03,cliente VIP,1
DD-000597,2023-01-01,C-320,Negro,Hotel,540.0,Transferencia,EMP-08,,0
DD-000008,2023-01-01,C-004,Paloma,Guardería,170.0,Tarjeta,EMP-06,,1
DD-000578,2023-01-01,C-310,Paloma,Corte,440.0,Efectivo,EMP-06,cliente frecuente,0
DD-000515,2023-01-01,C-271,Pancho,Guardería,180.0,Efectivo,EMP-01,primera visita,0
DD-000007,2023-01-01,C-004,Paloma,Hotel,520.0,Efectivo,EMP-04,alérgico a champú,1
DD-000122,2023-01-01,C-070,Buddy,Hotel,410.0,Tarjeta,EMP-04,alérgico a champú,1
DD-000476,2023-01-02,C-252,Kira,Baño,400.0,Transferencia,EMP-05,requiere cita previa,0
DD-000062,2023-01-02,C-033,Max,Hotel,400.0,Efectivo,EMP-02,traer vacunas,1
DD-000432,2023-01-02,C-229,Bella,Guardería,180.0,Efectivo,EMP-07,,0
DD-000190,2023-01-02,C-105,Tito,Guardería,210.0,Transferencia,EMP-07,traer vacunas,0
DD-000413,2023-01-02,C-221,Beto,Corte,270.0,Tarjeta,EMP-05,cliente frecuente,0
DD-000031,2023-01-02,C-013,Coco,Guardería,250.0,Efectivo,EMP-03,perro agresivo,1
DD-000030,2023-01-02,C-013,Coco,Guardería,160.0,Efectivo,EMP-07,,1
DD-000029,2023-01-02,C-013,Coco,Guardería,170.0,Tarjeta,EMP-03,alérgico a champú,1
DD-000314,2023-01-02,C-169,Gordo,Baño,440.0,Tarjeta,EMP-02,primera visita,0
DD-000266,2023-01-02,C-147,Rex,Guardería,210.0,Efectivo,EMP-06,,0
DD-000496,2023-01-02,C-262,Charlie,Guardería,220.0,Efectivo,EMP-04,alérgico a champú,0
DD-000057,2023-01-02,C-030,Bear,Baño,220.0,Tarjeta,EMP-08,traer vacunas,1
DD-000454,2023-01-02,C-240,Mia,Guardería,230.0,Transferencia,EMP-03,traer vacunas,0
DD-000134,2023-01-02,C-076,Bear,Guardería,220.0,Transferencia,EMP-05,cliente VIP,1
DD-000489,2023-01-02,C-259,Paloma,Guardería,220.0,Efectivo,EMP-03,,0
DD-000458,2023-01-02,C-242,Sammy,Guardería,160.0,Efectivo,EMP-08,,0
DD-000357,2023-01-02,C-189,Zeus,Baño,350.0,Efectivo,EMP-01,alérgico a champú,0
DD-000416,2023-01-02,C-222,Canela,Baño,360.0,Efectivo,EMP-08,traer vacunas,0
DD-000228,2023-01-03,C-124,Manchas,Adiestramiento,680.0,Efectivo,EMP-04,,0
DD-000079,2023-01-03,C-042,Nena,Guardería,230.0,Tarjeta,EMP-02,,1
DD-000240,2023-01-03,C-132,Blanca,Baño,200.0,Tarjeta,EMP-08,,0
DD-000214,2023-01-03,C-117,Daisy,Guardería,240.0,Efectivo,EMP-05,,0
DD-000229,2023-01-03,C-124,Manchas,Guardería,180.0,Tarjeta,EMP-01,,0
DD-000197,2023-01-03,C-108,Sasha,Guardería,230.0,Tarjeta,EMP-02,,0
DD-000284,2023-01-03,C-156,Beto,Guardería,250.0,Tarjeta,EMP-07,primera visita,0
DD-000101,2023-01-03,C-055,Bear,Guardería,170.0,Tarjeta,EMP-02,requiere cita previa,1
DD-000535,2023-01-03,C-284,Duke,Guardería,240.0,Tarjeta,EMP-02,alérgico a champú,0
DD-000457,2023-01-03,C-242,Sammy,Guardería,210.0,Efectivo,EMP-05,cliente frecuente,0
DD-000398,2023-01-03,C-211,Lobo,Guardería,200.0,Efectivo,EMP-02,cliente VIP,0
DD-000003,2023-01-03,C-003,Bella,Baño,300.0,Tarjeta,EMP-06,cliente VIP,1
DD-000437,2023-01-03,C-230,Chico,Hotel,550.0,Tarjeta,EMP-08,,0
DD-000464,2023-01-03,C-245,Frida,Baño,410.0,Tarjeta,EMP-02,,0
DD-000517,2023-01-03,C-274,Nena,Baño,270.0,Tarjeta,EMP-06,,0
DD-000411,2023-01-03,C-219,Nina,Hotel,530.0,Efectivo,EMP-03,cliente frecuente,0
DD-000440,2023-01-03,C-232,Thor,Guardería,240.0,Efectivo,EMP-01,descuento aplicado,0
DD-000013,2023-01-03,C-006,Thor,Guardería,230.0,Tarjeta,EMP-05,,1
DD-000262,2023-01-04,C-145,Lola,Guardería,160.0,Tarjeta,EMP-05,pago pendiente,0
DD-000022,2023-01-04,C-010,Maya,Guardería,190.0,Efectivo,EMP-05,cliente frecuente,1
DD-000015,2023-01-04,C-006,Thor,Baño,390.0,Tarjeta,EMP-06,,1
DD-000227,2023-01-04,C-123,Ringo,Hotel,400.0,Efectivo,EMP-02,traer vacunas,0
DD-000205,2023-01-04,C-114,Rocky,Guardería,240.0,Tarjeta,EMP-02,,0
DD-000514,2023-01-04,C-271,Pancho,Baño,340.0,Tarjeta,EMP-04,cliente VIP,0
DD-000577,2023-01-04,C-310,Paloma,Guardería,160.0,Efectivo,EMP-07,,0
DD-000193,2023-01-04,C-107,Lobo,Guardería,200.0,Tarjeta,EMP-07,,0
DD-000178,2023-01-04,C-100,Rosa,Adiestramiento,710.0,Tarjeta,EMP-08,,0
DD-000163,2023-01-04,C-092,Rocky,Guardería,240.0,Efectivo,EMP-06,,0
DD-000125,2023-01-04,C-072,Chico,Hotel,480.0,Tarjeta,EMP-04,,1
DD-000112,2023-01-04,C-064,Bella,Corte,280.0,Tarjeta,EMP-07,,1
DD-000511,2023-01-04,C-271,Pancho,Guardería,250.0,Tarjeta,EMP-03,propina incluida,0
DD-000556,2023-01-04,C-298,Ringo,Guardería,220.0,Transferencia,EMP-06,cliente VIP,0
DD-000369,2023-01-04,C-195,Rocky,Guardería,170.0,Tarjeta,EMP-03,primera visita,0
DD-000280,2023-01-04,C-153,Chato,Guardería,230.0,Transferencia,EMP-07,cliente frecuente,0
DD-000287,2023-01-04,C-157,Thor,Corte,420.0,Efectivo,EMP-07,pago pendiente,0
DD-000396,2023-01-04,C-210,Max,Corte,400.0,Tarjeta,EMP-05,,0
DD-000293,2023-01-04,C-160,Boby,Guardería,200.0,Efectivo,EMP-05,alérgico a champú,0
DD-000060,2023-01-04,C-032,Tito,Baño,300.0,Efectivo,EMP-05,pago pendiente,1
DD-000573,2023-01-04,C-308,Nina,Baño,340.0,Transferencia,EMP-08,,0
DD-000058,2023-01-04,C-031,Ringo,Hotel,420.0,Transferencia,EMP-08,,1
DD-000559,2023-01-04,C-299,Negro,Guardería,180.0,Transferencia,EMP-03,,0
DD-000385,2023-01-04,C-203,Princesa,Guardería,220.0,Efectivo,EMP-02,propina incluida,0
DD-000354,2023-01-04,C-188,Chico,Corte,310.0,Tarjeta,EMP-06,,0
DD-000337,2023-01-04,C-178,Coco,Corte,370.0,Tarjeta,EMP-01,,0
DD-000263,2023-01-05,C-147,Rex,Guardería,210.0,Transferencia,EMP-08,primera visita,0
DD-000375,2023-01-05,C-198,Chato,Baño,400.0,Efectivo,EMP-08,perro agresivo,0
DD-000386,2023-01-05,C-203,Princesa,Baño,350.0,Tarjeta,EMP-07,propina incluida,0
DD-000129,2023-01-05,C-074,Fifi,Baño,210.0,Tarjeta,EMP-08,descuento aplicado,1
DD-000316,2023-01-05,C-169,Gordo,Guardería,200.0,Transferencia,EMP-04,perro agresivo,0
DD-000328,2023-01-05,C-177,Princesa,Baño,310.0,Efectivo,EMP-01,descuento aplicado,0
DD-000547,2023-01-05,C-295,Chico,Guardería,170.0,Efectivo,EMP-08,descuento aplicado,0
DD-000419,2023-01-05,C-226,Chispa,Guardería,170.0,Efectivo,EMP-01,requiere cita previa,0
DD-000221,2023-01-05,C-121,Duke,Adiestramiento,730.0,Efectivo,EMP-05,propina incluida,0
DD-000425,2023-01-05,C-227,Maya,Guardería,220.0,Tarjeta,EMP-08,,0
DD-000435,2023-01-05,C-230,Chico,Guardería,240.0,Efectivo,EMP-07,,0
DD-000274,2023-01-05,C-150,Duke,Baño,420.0,Efectivo,EMP-01,perro agresivo,0
DD-000529,2023-01-05,C-280,Nena,Corte,370.0,Tarjeta,EMP-05,,0
DD-000383,2023-01-05,C-202,Tigrillo,Guardería,210.0,Tarjeta,EMP-02,requiere cita previa,0
DD-000527,2023-01-05,C-279,Coco,Guardería,250.0,Efectivo,EMP-03,,0
DD-000047,2023-01-05,C-024,Sultan,Baño,300.0,Efectivo,EMP-01,cliente VIP,1
DD-000073,2023-01-05,C-040,Manchas,Baño,380.0,Tarjeta,EMP-04,cliente frecuente,1
DD-000039,2023-01-05,C-019,Canela,Corte,330.0,Tarjeta,EMP-03,descuento aplicado,1
DD-000049,2023-01-05,C-026,Mia,Hotel,600.0,Efectivo,EMP-08,traer vacunas,1
DD-000055,2023-01-05,C-030,Bear,Guardería,200.0,Transferencia,EMP-07,pago pendiente,1
DD-000061,2023-01-05,C-033,Max,Guardería,230.0,Tarjeta,EMP-04,,1
DD-000036,2023-01-05,C-017,Canela,Baño,230.0,Efectivo,EMP-01,alérgico a champú,1
DD-000363,2023-01-06,C-192,Sammy,Baño,400.0,Efectivo,EMP-07,descuento aplicado,0
DD-000438,2023-01-06,C-231,Fifi,Guardería,220.0,Efectivo,EMP-07,primera visita,0
DD-000441,2023-01-06,C-232,Thor,Baño,290.0,Transferencia,EMP-07,descuento aplicado,0
DD-000442,2023-01-06,C-233,Manchas,Baño,220.0,Tarjeta,EMP-07,cliente VIP,0
DD-000580,2023-01-06,C-312,Bella,Baño,440.0,Efectivo,EMP-03,cliente frecuente,0
DD-000505,2023-01-06,C-267,Daisy,Baño,360.0,Efectivo,EMP-02,,0
DD-000509,2023-01-06,C-270,Luna,Guardería,230.0,Tarjeta,EMP-01,descuento aplicado,0
DD-000330,2023-01-06,C-177,Princesa,Baño,310.0,Efectivo,EMP-02,traer vacunas,0
DD-000027,2023-01-06,C-013,Coco,Guardería,210.0,Tarjeta,EMP-03,propina incluida,1
DD-000417,2023-01-06,C-225,Simba,Guardería,180.0,Efectivo,EMP-02,pago pendiente,0
DD-000204,2023-01-06,C-112,Princesa,Guardería,220.0,Tarjeta,EMP-04,,0
DD-000195,2023-01-06,C-108,Sasha,Guardería,190.0,Efectivo,EMP-02,,0
DD-000259,2023-01-06,C-143,Rex,Corte,330.0,Efectivo,EMP-05,,0
DD-000414,2023-01-06,C-221,Beto,Guardería,230.0,Transferencia,EMP-05,,0
DD-000415,2023-01-06,C-221,Beto,Adiestramiento,680.0,Tarjeta,EMP-03,,0
DD-000394,2023-01-06,C-210,Max,Baño,250.0,Tarjeta,EMP-08,,0
DD-000145,2023-01-06,C-083,Duke,Guardería,220.0,Efectivo,EMP-07,cliente VIP,0
DD-000252,2023-01-06,C-140,Chispa,Corte,360.0,Tarjeta,EMP-07,,0
DD-000165,2023-01-06,C-092,Rocky,Guardería,220.0,Transferencia,EMP-01,cliente frecuente,0
DD-000094,2023-01-06,C-051,Simba,Guardería,190.0,Tarjeta,EMP-07,,1
DD-000408,2023-01-06,C-216,Bonita,Guardería,210.0,Transferencia,EMP-06,descuento aplicado,0
DD-000475,2023-01-06,C-251,Blanca,Hotel,380.0,Transferencia,EMP-06,alérgico a champú,0
DD-000225,2023-01-06,C-122,Pepa,Guardería,240.0,Tarjeta,EMP-05,,0
DD-000041,2023-01-06,C-021,Rocky,Hotel,390.0,Efectivo,EMP-05,requiere cita previa,1
DD-000136,2023-01-06,C-077,Kira,Hotel,380.0,Tarjeta,EMP-06,,1
DD-000044,2023-01-06,C-022,Sammy,Guardería,180.0,Tarjeta,EMP-02,,1
DD-000526,2023-01-06,C-279,Coco,Guardería,160.0,Transferencia,EMP-06,pago pendiente,0
DD-000550,2023-01-07,C-297,Sasha,Guardería,200.0,Efectivo,EMP-06,,0
DD-000153,2023-01-07,C-085,Beto,Corte,310.0,Efectivo,EMP-08,cliente frecuente,0
DD-000188,2023-01-07,C-103,Panda,Hotel,540.0,Efectivo,EMP-05,,0
DD-000397,2023-01-07,C-210,Max,Guardería,160.0,Efectivo,EMP-02,alérgico a champú,0
DD-000088,2023-01-07,C-046,Chato,Guardería,150.0,Tarjeta,EMP-03,,1
DD-000171,2023-01-07,C-098,Ringo,Baño,230.0,Efectivo,EMP-08,descuento aplicado,0
DD-000175,2023-01-07,C-099,Gordo,Hotel,510.0,Efectivo,EMP-04,cliente VIP,0
DD-000484,2023-01-07,C-256,Chato,Guardería,170.0,Efectivo,EMP-02,primera visita,0
DD-000143,2023-01-07,C-083,Duke,Guardería,190.0,Transferencia,EMP-04,primera visita,0
DD-000162,2023-01-07,C-092,Rocky,Corte,270.0,Transferencia,EMP-07,,0
DD-000217,2023-01-07,C-120,Duke,Baño,390.0,Efectivo,EMP-03,perro agresivo,0
DD-000322,2023-01-07,C-174,Chispa,Guardería,210.0,Efectivo,EMP-04,descuento aplicado,0
DD-000539,2023-01-07,C-288,Boby,Adiestramiento,800.0,Efectivo,EMP-01,primera visita,0
DD-000056,2023-01-07,C-030,Bear,Guardería,200.0,Tarjeta,EMP-05,perro agresivo,1
DD-000349,2023-01-07,C-186,Frida,Hotel,450.0,Transferencia,EMP-07,,0
DD-000524,2023-01-07,C-278,Estrella,Baño,400.0,Tarjeta,EMP-01,descuento aplicado,0
DD-000352,2023-01-07,C-187,Simba,Guardería,240.0,Tarjeta,EMP-05,,0
DD-000362,2023-01-07,C-191,Sammy,Baño,410.0,Tarjeta,EMP-08,requiere cita previa,0
DD-000243,2023-01-07,C-134,Luna,Guardería,200.0,Efectivo,EMP-06,pago pendiente,0
DD-000366,2023-01-07,C-194,Nina,Guardería,180.0,Efectivo,EMP-07,perro agresivo,0
DD-000504,2023-01-07,C-266,Rex,Baño,430.0,Tarjeta,EMP-08,,0
DD-000439,2023-01-07,C-232,Thor,Baño,410.0,Tarjeta,EMP-08,alérgico a champú,0
DD-000507,2023-01-08,C-268,Nala,Guardería,220.0,Tarjeta,EMP-05,,0
DD-000257,2023-01-08,C-142,Estrella,Baño,210.0,Efectivo,EMP-02,alérgico a champú,0
DD-000579,2023-01-08,C-311,Nala,Baño,290.0,Efectivo,EMP-05,alérgico a champú,0
DD-000467,2023-01-08,C-245,Frida,Corte,430.0,Efectivo,EMP-04,traer vacunas,0
DD-000406,2023-01-08,C-214,Gordo,Baño,200.0,Tarjeta,EMP-04,cliente VIP,0
DD-000332,2023-01-08,C-178,Coco,Baño,400.0,Tarjeta,EMP-08,propina incluida,0
DD-000317,2023-01-08,C-170,Frida,Baño,320.0,Transferencia,EMP-03,,0
DD-000017,2023-01-08,C-007,Tito,Baño,270.0,Efectivo,EMP-06,requiere cita previa,1
DD-000034,2023-01-08,C-015,Panda,Guardería,170.0,Efectivo,EMP-08,traer vacunas,1
DD-000002,2023-01-08,C-002,Mia,Guardería,170.0,Tarjeta,EMP-04,cliente frecuente,1
DD-000185,2023-01-08,C-102,Chispa,Baño,350.0,Tarjeta,EMP-08,cliente frecuente,0
DD-000219,2023-01-08,C-120,Duke,Corte,400.0,Tarjeta,EMP-02,cliente VIP,0
DD-000312,2023-01-08,C-167,Coco,Guardería,180.0,Tarjeta,EMP-02,cliente VIP,0
DD-000493,2023-01-08,C-261,Sultan,Guardería,190.0,Efectivo,EMP-08,primera visita,0
DD-000089,2023-01-08,C-046,Chato,Corte,280.0,Efectivo,EMP-01,,1
DD-000393,2023-01-08,C-209,Manchas,Adiestramiento,450.0,Tarjeta,EMP-06,primera visita,0
DD-000213,2023-01-08,C-117,Daisy,Guardería,160.0,Tarjeta,EMP-02,requiere cita previa,0
DD-000092,2023-01-08,C-050,Max,Baño,320.0,Tarjeta,EMP-01,,1
DD-000461,2023-01-08,C-243,Maya,Corte,360.0,Efectivo,EMP-04,,0
DD-000201,2023-01-08,C-111,Thor,Baño,380.0,Tarjeta,EMP-08,requiere cita previa,0
DD-000081,2023-01-09,C-042,Nena,Baño,270.0,Transferencia,EMP-06,descuento aplicado,1
DD-000422,2023-01-09,C-226,Chispa,Hotel,360.0,Tarjeta,EMP-07,cliente VIP,0
DD-000255,2023-01-09,C-142,Estrella,Baño,410.0,Transferencia,EMP-04,traer vacunas,0
DD-000024,2023-01-09,C-011,Daisy,Guardería,210.0,Transferencia,EMP-03,propina incluida,1
